iter,objective,gap,alpha
1,1.291921e+06,4.698050e-03,0.256084
2,1.287783e+06,8.521364e-03,1.000000
3,1.287125e+06,3.404869e-03,0.237786
4,1.286257e+06,4.375623e-03,0.705870
5,1.286211e+06,9.553797e-04,0.133578
6,1.286134e+06,1.589322e-03,0.434516
7,1.286108e+06,7.679623e-04,0.146429
8,1.286084e+06,7.967505e-04,0.282285
9,1.286078e+06,3.219825e-04,0.051535
10,1.286076e+06,2.507974e-04,0.058444
11,1.286070e+06,3.414337e-04,0.133057
12,1.286067e+06,2.353389e-04,0.055462
13,1.286061e+06,3.801801e-04,0.151194
14,1.286060e+06,1.757693e-04,0.027190
15,1.286058e+06,2.465632e-04,0.082288
16,1.286056e+06,1.866134e-04,0.045545
17,1.286054e+06,2.298950e-04,0.089593
18,1.286054e+06,9.819937e-05,0.016074
19,1.286052e+06,1.949703e-04,0.081149
20,1.286051e+06,1.666469e-04,0.039880
21,1.286049e+06,2.325513e-04,0.100780
22,1.286049e+06,1.119917e-04,0.017339
23,1.286048e+06,1.493800e-04,0.051196
24,1.286047e+06,9.600898e-05,0.023924
25,1.286047e+06,1.452342e-04,0.060004
26,1.286046e+06,7.050613e-05,0.011563
27,1.286046e+06,1.274653e-04,0.051952
28,1.286045e+06,9.254112e-05,0.020726
29,1.286045e+06,5.357243e-05,0.009508
30,1.286044e+06,1.701917e-04,0.077590
31,1.286044e+06,1.082240e-04,0.025795
32,1.286044e+06,5.561671e-05,0.010014
33,1.286043e+06,1.133737e-04,0.046298
34,1.286043e+06,7.407432e-05,0.017883
35,1.286042e+06,1.077091e-04,0.048497
36,1.286042e+06,5.470426e-05,0.008883
37,1.286042e+06,1.029870e-04,0.041595
38,1.286042e+06,7.394339e-05,0.017184
39,1.286042e+06,3.845200e-05,0.007121
40,1.286041e+06,7.075958e-05,0.025927
41,1.286041e+06,4.767527e-05,0.011332
42,1.286041e+06,9.090211e-05,0.036688
43,1.286041e+06,4.624638e-05,0.011416
44,1.286041e+06,4.558930e-05,0.008426
45,1.286040e+06,1.152547e-04,0.049720
46,1.286040e+06,6.964348e-05,0.016249
47,1.286040e+06,3.529806e-05,0.006309
48,1.286040e+06,8.987271e-05,0.034673
49,1.286040e+06,5.111016e-05,0.012325
50,1.286040e+06,6.901192e-05,0.028200
51,1.286039e+06,3.000304e-05,0.004987
52,1.286039e+06,6.510694e-05,0.027895
53,1.286039e+06,5.080505e-05,0.012672
54,1.286039e+06,3.312122e-05,0.005786
55,1.286039e+06,9.716487e-05,0.042042
56,1.286039e+06,5.246936e-05,0.012851
57,1.286039e+06,2.886185e-05,0.005147
58,1.286039e+06,6.582907e-05,0.026027
59,1.286038e+06,4.268910e-05,0.010269
60,1.286038e+06,5.468614e-05,0.023759
61,1.286038e+06,2.439987e-05,0.003926
62,1.286038e+06,7.168679e-05,0.031552
63,1.286038e+06,5.141415e-05,0.012136
64,1.286038e+06,2.824985e-05,0.005124
65,1.286038e+06,4.190724e-05,0.016012
66,1.286038e+06,2.620085e-05,0.006421
67,1.286038e+06,5.930384e-05,0.024169
68,1.286038e+06,2.397211e-05,0.004040
69,1.286038e+06,6.114728e-05,0.024410
70,1.286037e+06,3.753395e-05,0.009036
71,1.286037e+06,2.447295e-05,0.004373
72,1.286037e+06,6.923860e-05,0.027382
73,1.286037e+06,3.769325e-05,0.009136
74,1.286037e+06,1.812900e-05,0.003242
75,1.286037e+06,6.102670e-05,0.025669
76,1.286037e+06,3.825705e-05,0.009147
77,1.286037e+06,2.171089e-05,0.003820
78,1.286037e+06,4.495156e-05,0.018676
79,1.286037e+06,2.888019e-05,0.007061
80,1.286037e+06,5.655416e-05,0.022480
81,1.286037e+06,2.259975e-05,0.003821
82,1.286037e+06,3.839729e-05,0.015518
83,1.286037e+06,3.480271e-05,0.008597
84,1.286037e+06,5.103527e-05,0.020976
85,1.286037e+06,2.259249e-05,0.003736
86,1.286036e+06,4.002513e-05,0.016980
87,1.286036e+06,2.691864e-05,0.006102
88,1.286036e+06,1.799121e-05,0.003259
89,1.286036e+06,5.184102e-05,0.023130
90,1.286036e+06,3.287979e-05,0.008126
91,1.286036e+06,1.721484e-05,0.002979
92,1.286036e+06,4.386307e-05,0.017940
93,1.286036e+06,2.755511e-05,0.006739
94,1.286036e+06,4.583444e-05,0.019701
95,1.286036e+06,2.009866e-05,0.003162
96,1.286036e+06,1.607796e-05,0.004032
97,1.286036e+06,4.678130e-05,0.020276
98,1.286036e+06,1.908957e-05,0.003124
99,1.286036e+06,4.101900e-05,0.017162
100,1.286036e+06,3.099592e-05,0.007472
101,1.286036e+06,4.798585e-05,0.020651
102,1.286036e+06,2.292374e-05,0.003643
103,1.286036e+06,2.754802e-05,0.010864
104,1.286036e+06,2.176263e-05,0.005320
105,1.286036e+06,3.614585e-05,0.014188
106,1.286036e+06,1.674706e-05,0.002741
107,1.286036e+06,2.907970e-05,0.012300
108,1.286036e+06,2.410037e-05,0.005355
109,1.286036e+06,1.390477e-05,0.002488
110,1.286036e+06,3.362117e-05,0.014828
111,1.286036e+06,2.487150e-05,0.005755
112,1.286036e+06,2.849393e-05,0.011799
113,1.286036e+06,1.588238e-05,0.002923
114,1.286035e+06,1.890258e-05,0.004573
115,1.286035e+06,4.435606e-05,0.019599
116,1.286035e+06,1.706139e-05,0.002740
117,1.286035e+06,3.556066e-05,0.012220
118,1.286035e+06,2.215087e-05,0.005325
119,1.286035e+06,4.199250e-05,0.017808
120,1.286035e+06,1.766410e-05,0.002829
121,1.286035e+06,2.966801e-05,0.013436
122,1.286035e+06,2.524631e-05,0.006161
123,1.286035e+06,1.359149e-05,0.002467
124,1.286035e+06,3.904273e-05,0.020051
125,1.286035e+06,2.415107e-05,0.005270
126,1.286035e+06,1.286241e-05,0.002384
127,1.286035e+06,2.640778e-05,0.011761
128,1.286035e+06,2.134708e-05,0.005128
129,1.286035e+06,3.423463e-05,0.012513
130,1.286035e+06,1.460571e-05,0.002475
131,1.286035e+06,1.989510e-05,0.007734
132,1.286035e+06,1.865072e-05,0.004622
133,1.286035e+06,2.426281e-05,0.011490
134,1.286035e+06,1.390093e-05,0.002261
135,1.286035e+06,2.608035e-05,0.010444
136,1.286035e+06,2.030560e-05,0.005024
137,1.286035e+06,3.675270e-05,0.016705
138,1.286035e+06,1.764053e-05,0.002799
139,1.286035e+06,1.905706e-05,0.007773
140,1.286035e+06,1.873633e-05,0.004433
141,1.286035e+06,9.431494e-06,0.001665
142,1.286035e+06,3.140016e-05,0.014408
143,1.286035e+06,1.848008e-05,0.004158
144,1.286035e+06,1.096965e-05,0.001978
145,1.286035e+06,2.982318e-05,0.011559
146,1.286035e+06,1.866381e-05,0.004484
147,1.286035e+06,2.296168e-05,0.009733
148,1.286035e+06,1.077536e-05,0.001808
149,1.286035e+06,2.087714e-05,0.009055
150,1.286035e+06,1.702592e-05,0.004206
151,1.286035e+06,1.129919e-05,0.001987
152,1.286035e+06,3.152735e-05,0.014011
153,1.286035e+06,1.916225e-05,0.004669
154,1.286035e+06,9.989019e-06,0.001719
155,1.286035e+06,2.281001e-05,0.008996
156,1.286035e+06,1.506545e-05,0.003608
157,1.286035e+06,2.116792e-05,0.009101
158,1.286035e+06,8.986427e-06,0.001317
159,1.286035e+06,2.822451e-05,0.012554
160,1.286035e+06,1.404329e-05,0.002253
161,1.286035e+06,1.272427e-05,0.003167
162,1.286034e+06,2.942796e-05,0.011659
163,1.286034e+06,1.399873e-05,0.003419
164,1.286034e+06,9.066443e-06,0.001667
165,1.286034e+06,2.426357e-05,0.010242
166,1.286034e+06,1.577995e-05,0.003817
167,1.286034e+06,1.991362e-05,0.008759
168,1.286034e+06,8.799962e-06,0.001430
169,1.286034e+06,2.222183e-05,0.009197
170,1.286034e+06,1.559977e-05,0.003854
171,1.286034e+06,9.847568e-06,0.001717
172,1.286034e+06,2.439655e-05,0.010581
173,1.286034e+06,1.410881e-05,0.003268
174,1.286034e+06,2.367179e-05,0.009674
175,1.286034e+06,1.123562e-05,0.001916
176,1.286034e+06,2.848354e-05,0.013179
177,1.286034e+06,1.285613e-05,0.002101
178,1.286034e+06,1.120528e-05,0.002705
179,1.286034e+06,2.521789e-05,0.009389
180,1.286034e+06,1.211118e-05,0.002986
181,1.286034e+06,1.972413e-05,0.008879
182,1.286034e+06,9.990096e-06,0.001530
183,1.286034e+06,2.400583e-05,0.010764
184,1.286034e+06,1.689214e-05,0.003740
