iter,objective,gap,alpha
1,1.339404e+06,1.803802e-02,0.425391
2,1.299672e+06,6.613185e-03,0.299119
3,1.291129e+06,4.377151e-03,0.279902
4,1.285373e+06,4.110864e-03,0.248891
5,1.280877e+06,3.618259e-03,0.277462
6,1.279070e+06,2.000288e-03,0.131999
7,1.276464e+06,2.978831e-03,0.289085
8,1.274920e+06,2.276310e-03,0.126663
9,1.272852e+06,3.633489e-03,0.345941
10,1.272218e+06,1.543226e-03,0.077740
11,1.270740e+06,3.170168e-03,0.332547
12,1.269919e+06,2.178283e-03,0.156934
13,1.269130e+06,2.145979e-03,0.240780
14,1.268648e+06,1.725985e-03,0.147063
15,1.268463e+06,8.794998e-04,0.081714
16,1.268003e+06,1.501558e-03,0.259189
17,1.267591e+06,1.303214e-03,0.163342
18,1.267448e+06,8.475355e-04,0.086096
19,1.267175e+06,1.375339e-03,0.223120
20,1.267064e+06,7.090088e-04,0.059192
21,1.266847e+06,1.265910e-03,0.214362
22,1.266733e+06,5.904797e-04,0.071386
23,1.266610e+06,9.225100e-04,0.156468
24,1.266539e+06,5.778655e-04,0.079471
25,1.266464e+06,5.721081e-04,0.098495
26,1.266332e+06,1.132219e-03,0.199908
27,1.266265e+06,5.871222e-04,0.080451
28,1.266180e+06,8.036290e-04,0.150303
29,1.266154e+06,3.177870e-04,0.047567
30,1.266081e+06,9.429771e-04,0.167438
31,1.266051e+06,3.916950e-04,0.052536
32,1.266004e+06,6.792512e-04,0.121210
33,1.265991e+06,1.953168e-04,0.029566
34,1.265952e+06,6.557416e-04,0.141539
35,1.265932e+06,3.318267e-04,0.052418
36,1.265907e+06,4.115298e-04,0.092708
37,1.265898e+06,1.901193e-04,0.026885
38,1.265883e+06,3.628746e-04,0.075156
39,1.265877e+06,1.406478e-04,0.026298
40,1.265860e+06,3.588522e-04,0.083834
41,1.265853e+06,1.613205e-04,0.022896
42,1.265841e+06,3.550299e-04,0.077226
43,1.265835e+06,1.497130e-04,0.025104
44,1.265825e+06,2.875240e-04,0.056137
45,1.265822e+06,1.064159e-04,0.017794
46,1.265819e+06,1.219605e-04,0.026248
47,1.265815e+06,1.629201e-04,0.030988
48,1.265811e+06,1.214586e-04,0.028444
49,1.265800e+06,3.136152e-04,0.073683
50,1.265795e+06,1.399127e-04,0.020617
51,1.265790e+06,2.088996e-04,0.038530
52,1.265783e+06,3.087079e-04,0.050747
53,1.265780e+06,1.288338e-04,0.021533
54,1.265774e+06,2.113993e-04,0.057763
55,1.265771e+06,9.860636e-05,0.015025
56,1.265767e+06,2.246929e-04,0.044197
57,1.265764e+06,9.080379e-05,0.016175
58,1.265761e+06,1.957632e-04,0.037701
59,1.265759e+06,9.687666e-05,0.016724
60,1.265756e+06,1.359990e-04,0.026493
61,1.265754e+06,1.769727e-04,0.030923
62,1.265750e+06,1.699969e-04,0.032348
63,1.265748e+06,9.866816e-05,0.018286
64,1.265744e+06,1.745679e-04,0.042648
65,1.265743e+06,5.521427e-05,0.008937
66,1.265740e+06,1.887922e-04,0.037624
67,1.265739e+06,7.351894e-05,0.013000
68,1.265735e+06,2.031200e-04,0.050814
69,1.265733e+06,9.850707e-05,0.015628
70,1.265732e+06,6.860796e-05,0.011636
71,1.265729e+06,1.708448e-04,0.040948
72,1.265727e+06,9.222441e-05,0.016227
73,1.265726e+06,1.193256e-04,0.024361
74,1.265725e+06,4.917872e-05,0.009145
75,1.265723e+06,1.533015e-04,0.038985
76,1.265722e+06,7.428019e-05,0.012626
77,1.265720e+06,1.435045e-04,0.024722
78,1.265719e+06,5.333861e-05,0.009706
79,1.265719e+06,4.398609e-05,0.011495
80,1.265717e+06,9.257373e-05,0.022937
81,1.265717e+06,5.662424e-05,0.010489
82,1.265715e+06,1.493638e-04,0.029959
83,1.265714e+06,1.010551e-04,0.018473
84,1.265713e+06,6.948978e-05,0.014156
85,1.265712e+06,3.384579e-05,0.007700
86,1.265711e+06,1.147397e-04,0.021963
87,1.265711e+06,3.500398e-05,0.006230
88,1.265709e+06,1.348404e-04,0.028298
89,1.265708e+06,6.643947e-05,0.011450
90,1.265707e+06,1.499947e-04,0.032795
91,1.265706e+06,5.780307e-05,0.009406
92,1.265705e+06,9.169814e-05,0.017327
93,1.265705e+06,3.004144e-05,0.005285
94,1.265704e+06,7.718696e-05,0.017772
95,1.265704e+06,4.614689e-05,0.008560
96,1.265703e+06,1.044104e-04,0.022605
97,1.265702e+06,6.004071e-05,0.010587
98,1.265702e+06,4.101749e-05,0.008304
99,1.265701e+06,4.340165e-05,0.008670
100,1.265700e+06,1.040881e-04,0.026190
101,1.265699e+06,5.692008e-05,0.010815
102,1.265699e+06,9.886762e-05,0.019037
103,1.265698e+06,3.281396e-05,0.005457
104,1.265698e+06,8.915356e-05,0.017562
105,1.265697e+06,3.275220e-05,0.005874
106,1.265696e+06,1.022389e-04,0.023541
107,1.265696e+06,3.739002e-05,0.007148
