tail,head,volume,travel_time
1,290,1151.600709,1.083333
1,307,1094.508291,1.083333
1,316,0.000000,1.083333
2,302,0.000000,1.666667
2,304,0.000000,1.666667
3,301,0.000000,1.083333
3,306,5.038000,1.083333
4,301,0.000000,1.083333
4,306,0.000000,1.083333
5,298,593.426000,0.500000
5,299,24.119000,0.500000
5,310,100.938000,1.083333
6,424,1970.583744,0.833333
6,425,567.338000,0.833333
6,456,149.988256,0.833333
7,274,755.455229,0.666667
7,281,876.215771,0.666667
7,283,0.000000,0.666667
8,272,147.425921,0.666667
8,456,16.620000,0.666667
8,474,486.323264,0.666667
8,480,733.425815,0.666667
9,277,615.620000,0.500000
10,205,8.271000,0.416667
10,206,37.427000,0.416667
10,214,217.122000,0.416667
11,206,519.625709,0.666667
11,207,91.126291,0.666667
12,210,389.587657,0.833333
12,217,0.000000,0.833333
12,222,234.255343,0.833333
13,208,201.247145,0.666667
13,211,137.033798,0.666667
13,224,129.123057,0.666667
14,244,694.885000,0.583333
15,228,131.907000,0.833333
15,533,1526.203960,0.833333
15,538,616.456040,0.833333
16,601,464.282439,1.000000
16,602,182.317561,1.000000
17,597,19.848154,0.666667
17,608,114.415846,0.666667
17,621,10.752000,0.666667
18,914,110.380000,0.916667
18,937,177.169752,0.916667
18,938,491.147399,0.916667
18,946,375.742849,0.916667
19,617,806.372286,0.833333
19,919,29.984000,0.833333
19,931,401.571714,0.833333
20,916,616.927000,0.750000
21,915,599.952617,0.500000
21,943,556.237383,0.500000
22,831,492.589000,1.166667
23,823,1901.079483,1.083333
23,835,368.231754,1.083333
23,836,1874.655034,1.083333
23,839,411.721729,1.083333
24,827,486.269678,1.166667
24,838,1103.409701,1.166667
24,855,2479.672622,1.166667
25,821,2096.566000,1.250000
25,841,656.060000,1.250000
25,849,280.194000,1.250000
26,322,2377.604850,0.666667
26,844,219.633980,0.666667
26,851,633.858170,0.666667
27,317,766.047000,0.666667
27,333,329.707942,0.666667
27,824,2378.972058,0.666667
27,832,0.000000,0.666667
28,328,239.418360,0.666667
28,339,2818.150000,0.666667
28,825,788.729640,0.666667
29,325,1254.827627,0.750000
29,331,987.384373,0.750000
30,286,284.755000,0.666667
30,340,828.778000,0.666667
31,366,1077.542105,0.616667
31,405,1627.291867,0.616667
31,448,332.177000,0.616667
31,779,811.875028,0.616667
32,287,503.400123,0.666667
32,347,1472.990839,0.666667
32,355,109.556822,0.666667
32,356,1037.253216,0.666667
33,255,785.696650,1.083333
33,858,1241.597263,1.083333
33,961,2749.354735,1.083333
33,963,1344.161352,1.083333
34,870,1137.130024,0.916667
34,962,1623.259737,0.916667
34,964,904.866240,0.916667
34,967,1228.843998,0.916667
35,758,1392.823500,0.750000
35,760,1451.408029,0.750000
35,869,427.918165,0.750000
35,966,888.066305,0.750000
36,763,863.062330,0.616667
36,764,144.343890,0.616667
36,767,290.595166,0.616667
36,788,784.067614,0.616667
36,796,18.194000,0.616667
37,349,335.259041,0.700000
37,393,140.963135,0.700000
37,458,185.622226,0.700000
37,459,565.156858,0.700000
37,803,943.643740,0.700000
38,255,201.052384,0.783333
38,262,230.598127,0.783333
38,267,1773.661489,0.783333
39,254,37.276571,0.833333
39,873,981.678354,0.833333
39,880,1910.456859,0.833333
39,881,98.048216,0.833333
40,633,3682.667076,1.083333
40,883,2142.180924,1.083333
41,761,1650.381750,0.916667
41,866,1044.472181,0.916667
41,875,274.255570,0.916667
41,885,302.866499,0.916667
42,666,0.000000,0.666667
42,676,1462.850755,0.666667
42,679,230.366000,0.666667
42,687,616.682245,0.666667
43,668,373.694296,0.583333
43,688,207.328973,0.583333
