iter,objective,gap,alpha
1,1.839265e+07,1.065901e-02,0.477201
2,1.719285e+07,5.080627e-03,0.448971
3,1.709612e+07,2.031074e-03,0.153510
4,1.696776e+07,3.158355e-03,0.513896
5,1.691935e+07,2.112112e-03,0.165591
6,1.687346e+07,1.991581e-03,0.386594
7,1.685430e+07,1.291252e-03,0.122161
8,1.681849e+07,1.863016e-03,0.534544
9,1.680374e+07,1.066106e-03,0.127743
10,1.679383e+07,8.876912e-04,0.212512
11,1.678804e+07,7.018046e-04,0.129516
12,1.678331e+07,6.714785e-04,0.159179
13,1.677939e+07,6.024035e-04,0.122949
14,1.677501e+07,6.537876e-04,0.194476
15,1.677198e+07,5.126736e-04,0.109280
16,1.676760e+07,5.754416e-04,0.238354
17,1.676491e+07,4.090295e-04,0.113389
18,1.676248e+07,4.438282e-04,0.168926
19,1.676106e+07,3.364834e-04,0.089334
20,1.676006e+07,2.838100e-04,0.094371
21,1.675878e+07,3.076527e-04,0.114553
22,1.675789e+07,2.714676e-04,0.087870
23,1.675702e+07,2.569772e-04,0.095552
24,1.675625e+07,2.540441e-04,0.087010
25,1.675552e+07,2.248319e-04,0.097324
26,1.675505e+07,1.944464e-04,0.061568
27,1.675463e+07,1.791822e-04,0.069679
28,1.675421e+07,1.853676e-04,0.065706
29,1.675386e+07,1.910117e-04,0.064157
30,1.675353e+07,1.549925e-04,0.063406
31,1.675323e+07,1.364072e-04,0.058899
32,1.675297e+07,1.381131e-04,0.054253
33,1.675273e+07,1.449202e-04,0.051769
34,1.675251e+07,1.337714e-04,0.050130
35,1.675229e+07,1.367121e-04,0.054208
36,1.675214e+07,1.076404e-04,0.041775
37,1.675200e+07,1.170289e-04,0.038713
38,1.675180e+07,1.226447e-04,0.055652
39,1.675162e+07,1.309082e-04,0.046723
40,1.675150e+07,8.239367e-05,0.039616
41,1.675141e+07,9.776298e-05,0.028881
42,1.675127e+07,1.059776e-04,0.047627
43,1.675115e+07,9.010786e-05,0.036177
44,1.675106e+07,8.534442e-05,0.037190
45,1.675098e+07,7.365266e-05,0.028879
46,1.675087e+07,1.004220e-04,0.045283
47,1.675078e+07,9.358520e-05,0.028689
48,1.675071e+07,8.072155e-05,0.032987
49,1.675063e+07,7.338214e-05,0.031770
50,1.675057e+07,6.579828e-05,0.029319
51,1.675049e+07,8.906860e-05,0.034195
52,1.675043e+07,7.334541e-05,0.026888
53,1.675037e+07,6.702401e-05,0.028624
54,1.675032e+07,5.954212e-05,0.024635
55,1.675027e+07,6.970579e-05,0.031655
56,1.675022e+07,6.364655e-05,0.024532
57,1.675016e+07,6.229335e-05,0.031697
58,1.675013e+07,5.676330e-05,0.015676
59,1.675009e+07,5.385287e-05,0.023649
60,1.675005e+07,5.845285e-05,0.023300
61,1.675002e+07,4.820514e-05,0.020571
62,1.674998e+07,6.326687e-05,0.023625
63,1.674995e+07,5.328619e-05,0.021637
64,1.674991e+07,5.667366e-05,0.024057
65,1.674989e+07,3.822924e-05,0.015824
66,1.674986e+07,5.358711e-05,0.020436
67,1.674983e+07,5.263483e-05,0.021307
68,1.674979e+07,5.317179e-05,0.022778
69,1.674977e+07,3.910449e-05,0.016460
70,1.674974e+07,4.941521e-05,0.018466
71,1.674972e+07,4.573671e-05,0.020436
72,1.674968e+07,4.954235e-05,0.025436
73,1.674966e+07,3.712259e-05,0.012555
74,1.674964e+07,4.929515e-05,0.022788
75,1.674962e+07,4.421550e-05,0.015460
76,1.674961e+07,3.071652e-05,0.009076
77,1.674959e+07,4.143663e-05,0.020004
78,1.674956e+07,4.070691e-05,0.018154
79,1.674955e+07,3.358125e-05,0.011202
80,1.674953e+07,3.592019e-05,0.017723
81,1.674951e+07,4.284571e-05,0.018003
82,1.674950e+07,3.340934e-05,0.010754
83,1.674948e+07,3.549021e-05,0.017948
84,1.674946e+07,3.362548e-05,0.013679
85,1.674945e+07,3.322250e-05,0.012579
86,1.674943e+07,4.150791e-05,0.017397
87,1.674941e+07,3.597052e-05,0.016131
88,1.674940e+07,3.252781e-05,0.012613
89,1.674939e+07,3.126069e-05,0.011679
90,1.674937e+07,3.430069e-05,0.017616
91,1.674936e+07,3.202659e-05,0.013389
92,1.674935e+07,3.021239e-05,0.011337
93,1.674934e+07,2.895716e-05,0.013335
94,1.674933e+07,3.358703e-05,0.012969
95,1.674931e+07,3.041451e-05,0.015491
96,1.674930e+07,3.127142e-05,0.009961
97,1.674929e+07,2.802261e-05,0.013931
98,1.674928e+07,3.025155e-05,0.012469
99,1.674927e+07,2.594775e-05,0.007473
100,1.674926e+07,3.401820e-05,0.017827
101,1.674925e+07,2.778089e-05,0.009930
102,1.674924e+07,2.788728e-05,0.014039
103,1.674923e+07,2.637239e-05,0.008701
104,1.674922e+07,2.623624e-05,0.013595
105,1.674921e+07,2.784434e-05,0.010767
106,1.674920e+07,2.540960e-05,0.009586
107,1.674920e+07,2.431404e-05,0.010545
108,1.674919e+07,2.746257e-05,0.010961
109,1.674918e+07,2.625996e-05,0.011801
110,1.674917e+07,2.924741e-05,0.011134
111,1.674916e+07,2.328829e-05,0.008944
112,1.674916e+07,2.080749e-05,0.010597
113,1.674915e+07,2.510815e-05,0.011431
114,1.674914e+07,2.356537e-05,0.006529
115,1.674913e+07,2.774283e-05,0.015374
116,1.674912e+07,2.509475e-05,0.008829
117,1.674912e+07,2.135757e-05,0.009602
118,1.674911e+07,2.739139e-05,0.010106
119,1.674910e+07,2.053118e-05,0.009335
120,1.674910e+07,2.303398e-05,0.009884
121,1.674909e+07,2.100338e-05,0.008850
122,1.674909e+07,2.336048e-05,0.010369
123,1.674908e+07,2.457339e-05,0.010853
124,1.674907e+07,2.381335e-05,0.010617
125,1.674907e+07,1.875428e-05,0.005231
126,1.674906e+07,2.301495e-05,0.010215
127,1.674906e+07,1.912330e-05,0.008399
128,1.674905e+07,2.161890e-05,0.008552
129,1.674905e+07,1.898140e-05,0.007777
130,1.674904e+07,2.040651e-05,0.009997
131,1.674903e+07,2.260527e-05,0.008337
132,1.674903e+07,1.771988e-05,0.006540
133,1.674903e+07,2.087600e-05,0.009506
134,1.674902e+07,2.220566e-05,0.008977
135,1.674901e+07,1.966241e-05,0.008708
136,1.674901e+07,1.803884e-05,0.005154
137,1.674901e+07,2.163048e-05,0.010979
138,1.674900e+07,2.006687e-05,0.007839
139,1.674900e+07,1.673760e-05,0.006589
140,1.674899e+07,1.912142e-05,0.009164
141,1.674899e+07,2.069816e-05,0.009033
142,1.674898e+07,1.804746e-05,0.006231
