tail,head,volume,travel_time
1,547,4989.130000,0.000000
2,548,6719.410000,0.000000
3,549,10095.530000,0.000000
4,550,9444.620000,0.000000
5,551,17223.820000,0.000000
6,552,6446.030000,0.000000
7,553,9884.280000,0.000000
8,554,9252.300000,0.000000
9,555,6699.450000,0.000000
10,556,13823.650000,0.000000
11,557,10551.060000,0.000000
12,558,6985.780000,0.000000
13,559,9401.480000,0.000000
14,560,14763.690000,0.000000
15,561,8934.720000,0.000000
16,562,10301.010000,0.000000
17,563,9098.550000,0.000000
18,564,9300.740000,0.000000
19,565,2624.610000,0.000000
20,566,7707.950000,0.000000
21,567,4696.170000,0.000000
22,568,3370.820000,0.000000
23,569,12667.830000,0.000000
24,570,6010.920000,0.000000
25,571,5993.210000,0.000000
26,572,12936.830000,0.000000
27,573,7749.490000,0.000000
28,574,8700.360000,0.000000
29,575,14581.240000,0.000000
30,576,5416.970000,0.000000
31,577,7838.860000,0.000000
32,578,7900.650000,0.000000
33,579,4727.450000,0.000000
34,580,6460.140000,0.000000
35,581,5145.610000,0.000000
36,582,6100.870000,0.000000
37,583,1148.810000,0.000000
38,584,2228.480000,0.000000
39,585,6737.860000,0.000000
40,586,1866.660000,0.000000
41,587,8069.740000,0.000000
42,588,2120.700000,0.000000
43,589,5257.640000,0.000000
44,590,7128.540000,0.000000
45,591,6238.190000,0.000000
46,592,6568.320000,0.000000
47,593,2892.160000,0.000000
48,594,4978.070000,0.000000
49,595,3495.580000,0.000000
50,596,4758.000000,0.000000
51,597,1577.300000,0.000000
52,598,2041.280000,0.000000
53,599,4665.330000,0.000000
54,600,1259.870000,0.000000
55,601,1778.420000,0.000000
56,602,4297.130000,0.000000
57,603,1646.850000,0.000000
58,604,5962.500000,0.000000
59,605,5225.800000,0.000000
60,606,5148.460000,0.000000
61,607,5264.460000,0.000000
62,608,5472.500000,0.000000
63,609,3718.920000,0.000000
64,610,9104.310000,0.000000
65,611,3468.090000,0.000000
66,612,6193.350000,0.000000
67,613,3858.590000,0.000000
68,614,6526.750000,0.000000
