iter,objective,gap,alpha
1,7.335378e+06,5.980911e-02,0.316105
2,5.902234e+06,2.388029e-02,0.248044
3,5.565081e+06,1.306994e-02,0.206134
4,5.176037e+06,1.672443e-02,0.347920
5,4.984777e+06,1.216156e-02,0.173067
6,4.704003e+06,1.881256e-02,0.565808
7,4.591216e+06,1.119580e-02,0.127532
8,4.532252e+06,9.895272e-03,0.198174
9,4.490860e+06,8.036393e-03,0.169439
10,4.457277e+06,5.780411e-03,0.157314
11,4.412169e+06,6.978695e-03,0.221923
12,4.392115e+06,4.850110e-03,0.108106
13,4.355681e+06,7.509754e-03,0.292802
14,4.338002e+06,4.710846e-03,0.098649
15,4.327504e+06,3.619467e-03,0.107412
16,4.315137e+06,3.570029e-03,0.137392
17,4.309188e+06,2.356917e-03,0.063858
18,4.299571e+06,3.258934e-03,0.158413
19,4.293622e+06,2.633841e-03,0.063223
20,4.290068e+06,2.108847e-03,0.073242
21,4.285796e+06,2.267240e-03,0.076561
22,4.281200e+06,2.412868e-03,0.096189
23,4.278628e+06,1.755559e-03,0.044067
24,4.274087e+06,2.379115e-03,0.120992
25,4.271331e+06,1.704089e-03,0.048051
26,4.268748e+06,2.261412e-03,0.074885
27,4.267323e+06,1.357510e-03,0.045873
28,4.264025e+06,2.015419e-03,0.091082
29,4.262244e+06,1.403572e-03,0.041651
30,4.260219e+06,1.724561e-03,0.073468
31,4.258707e+06,1.427347e-03,0.046853
32,4.257101e+06,1.505460e-03,0.062351
33,4.256000e+06,1.156472e-03,0.041882
34,4.254818e+06,1.113373e-03,0.042391
35,4.253763e+06,1.143827e-03,0.045546
36,4.253048e+06,9.206720e-04,0.031939
37,4.252003e+06,1.212354e-03,0.048647
38,4.251387e+06,8.674227e-04,0.028165
39,4.249948e+06,1.345355e-03,0.080228
40,4.249172e+06,9.221224e-04,0.025767
41,4.248633e+06,8.266152e-04,0.032450
42,4.247869e+06,1.091560e-03,0.042892
43,4.247400e+06,7.530737e-04,0.024352
44,4.246972e+06,7.485668e-04,0.028420
45,4.246473e+06,7.465648e-04,0.032007
46,4.245965e+06,7.205302e-04,0.028931
47,4.245525e+06,8.080346e-04,0.031784
48,4.245290e+06,5.159538e-04,0.016481
49,4.244845e+06,7.852567e-04,0.034955
50,4.244529e+06,6.061914e-04,0.020426
51,4.244064e+06,8.524242e-04,0.036325
52,4.243774e+06,6.516596e-04,0.019743
53,4.243549e+06,5.582776e-04,0.018971
54,4.243101e+06,7.956250e-04,0.040122
55,4.242828e+06,5.934149e-04,0.016820
56,4.242484e+06,6.336947e-04,0.037050
57,4.242198e+06,5.656672e-04,0.018640
58,4.241992e+06,4.646750e-04,0.021420
