tail,head,volume,travel_time
1,2,4494.886635,6.000816
1,3,8119.222216,4.008691
2,1,4519.277944,6.000834
2,6,5967.572731,6.573848
3,1,8094.830906,4.008587
3,4,14007.556213,4.269493
3,12,10024.087095,4.020193
4,3,14031.985491,4.271378
4,5,18007.416227,2.315447
4,11,5200.935646,7.134116
5,4,18031.905231,2.317167
5,6,8798.121668,9.997827
5,9,15781.355277,9.651987
6,2,5991.964040,6.599737
6,5,8806.156072,10.019766
6,8,12492.950172,14.691056
7,8,12101.900362,5.552474
7,18,15794.969002,2.062241
8,6,12525.375886,14.823329
8,7,12041.033431,5.501509
8,9,6882.762048,15.175000
8,16,8388.605419,10.729179
9,5,15797.809877,9.671419
9,8,6836.592782,15.037536
9,10,21744.382774,5.682684
10,9,21814.668107,5.717538
10,11,17726.729377,12.405864
10,15,23126.186248,13.722890
10,16,11046.861832,20.083459
10,17,8100.039169,16.308178
11,4,5300.875920,7.223833
11,10,17604.727299,12.204079
11,12,8365.006809,13.589216
11,14,9776.441617,13.692563
12,3,9975.266507,4.019803
12,11,8404.887797,13.734983
12,13,12289.193358,3.022808
13,12,12380.253758,3.023492
13,24,11121.172964,17.660099
14,11,9814.498825,13.844369
14,15,9036.019804,12.233333
14,23,8400.339657,9.079109
15,10,23192.308476,13.811594
15,14,9079.689785,12.374181
15,19,19083.324766,4.326222
15,22,18409.013082,9.086924
16,8,8406.333467,10.777764
16,10,11072.994026,20.236186
16,17,11694.193703,9.499383
16,18,15280.052048,3.163539
17,10,8100.072159,16.308313
17,16,11682.986996,9.470677
17,19,9952.902028,7.436366
18,7,15855.835934,2.063206
18,16,15335.118997,3.165909
18,20,18978.223527,4.259449
19,15,19116.489541,4.335465
19,17,9941.728312,7.411994
19,20,8688.094463,9.458378
20,18,18994.157408,4.260322
20,19,8710.085522,9.513853
20,21,6302.489635,8.166302
20,22,7000.276206,7.713558
21,20,6240.336735,8.082105
21,22,8619.282732,4.213242
21,24,10308.957660,11.922491
22,15,18385.640515,9.056071
22,20,7000.354045,7.713679
22,21,8606.970779,4.200623
22,23,9661.476259,12.364600
23,14,8394.726885,9.065548
23,22,9625.869579,12.241972
23,24,7902.901339,3.759231
24,13,11112.233364,17.616230
24,21,10259.116712,11.751187
24,23,7861.681887,3.722814
