iter,objective,gap,alpha
1,8.563261e+05,8.005607e-03,0.223122
2,8.442865e+05,4.752719e-03,0.283628
3,8.425041e+05,1.847547e-03,0.111992
4,8.395300e+05,2.352735e-03,0.235907
5,8.381932e+05,1.573429e-03,0.103568
6,8.360980e+05,2.140435e-03,0.273657
7,8.352501e+05,1.305905e-03,0.088518
8,8.342890e+05,1.462530e-03,0.148644
9,8.337575e+05,1.015272e-03,0.082798
10,8.327103e+05,1.703612e-03,0.268658
11,8.322152e+05,1.022010e-03,0.065321
12,8.315475e+05,1.341961e-03,0.209436
13,8.311981e+05,8.261352e-04,0.077431
14,8.308998e+05,7.951690e-04,0.121310
15,8.307114e+05,6.072737e-04,0.061515
16,8.304866e+05,6.997133e-04,0.107886
17,8.302607e+05,7.475315e-04,0.094635
18,8.300377e+05,7.266130e-04,0.114819
19,8.299447e+05,4.238846e-04,0.045388
20,8.297926e+05,6.163230e-04,0.099863
21,8.296257e+05,6.684973e-04,0.094720
22,8.294824e+05,5.652870e-04,0.090205
23,8.293160e+05,6.960602e-04,0.117683
24,8.292401e+05,4.027784e-04,0.052561
25,8.291497e+05,4.706908e-04,0.085901
26,8.290761e+05,4.301874e-04,0.057335
27,8.289914e+05,4.872788e-04,0.090230
28,8.289260e+05,3.836621e-04,0.056150
29,8.288603e+05,3.915703e-04,0.079297
30,8.288079e+05,3.546442e-04,0.060043
31,8.287598e+05,3.695179e-04,0.056856
32,8.287090e+05,3.694907e-04,0.068254
33,8.286776e+05,2.739171e-04,0.039154
34,8.286132e+05,4.662019e-04,0.104546
35,8.285899e+05,2.387160e-04,0.025446
36,8.285540e+05,3.437182e-04,0.060962
37,8.285281e+05,2.373722e-04,0.035777
38,8.284909e+05,3.691223e-04,0.073893
39,8.284686e+05,2.244878e-04,0.032310
40,8.284456e+05,2.550175e-04,0.046707
41,8.284238e+05,2.546153e-04,0.040901
42,8.283995e+05,2.397360e-04,0.050531
43,8.283842e+05,1.968610e-04,0.032569
44,8.283602e+05,2.893008e-04,0.055746
45,8.283443e+05,2.061323e-04,0.032543
46,8.283318e+05,1.660668e-04,0.030897
47,8.283162e+05,2.315643e-04,0.042686
48,8.283024e+05,1.897012e-04,0.034651
49,8.282865e+05,2.098931e-04,0.045268
50,8.282731e+05,1.960982e-04,0.030866
51,8.282640e+05,1.625705e-04,0.030424
52,8.282466e+05,2.391011e-04,0.055644
53,8.282342e+05,1.965347e-04,0.029618
54,8.282242e+05,1.771890e-04,0.033602
55,8.282136e+05,1.916140e-04,0.038719
56,8.282053e+05,1.481656e-04,0.026680
57,8.281972e+05,1.475229e-04,0.028130
58,8.281887e+05,1.603795e-04,0.031727
59,8.281816e+05,1.325052e-04,0.025469
60,8.281739e+05,1.650774e-04,0.031216
61,8.281680e+05,1.352702e-04,0.022645
62,8.281602e+05,1.518504e-04,0.033678
63,8.281543e+05,1.324228e-04,0.021084
64,8.281491e+05,1.205485e-04,0.023728
65,8.281391e+05,2.013658e-04,0.045111
66,8.281331e+05,1.265431e-04,0.022595
67,8.281272e+05,1.465720e-04,0.028107
68,8.281219e+05,1.284121e-04,0.024663
69,8.281179e+05,1.004117e-04,0.019116
70,8.281114e+05,1.473469e-04,0.035788
71,8.281068e+05,1.235429e-04,0.017246
72,8.281029e+05,1.093195e-04,0.024238
73,8.280985e+05,1.080349e-04,0.021026
74,8.280945e+05,1.044553e-04,0.022247
75,8.280897e+05,1.568445e-04,0.028620
76,8.280859e+05,9.517405e-05,0.017296
77,8.280811e+05,1.257116e-04,0.030067
78,8.280782e+05,9.951707e-05,0.015347
79,8.280745e+05,1.106426e-04,0.023123
80,8.280713e+05,1.054848e-04,0.020625
81,8.280688e+05,7.441177e-05,0.014115
82,8.280651e+05,1.247006e-04,0.026163
83,8.280621e+05,8.908981e-05,0.016072
84,8.280586e+05,1.073999e-04,0.024258
85,8.280563e+05,7.805035e-05,0.012730
86,8.280526e+05,1.219475e-04,0.030151
87,8.280507e+05,6.741513e-05,0.010127
88,8.280476e+05,1.034740e-04,0.023170
89,8.280454e+05,7.423649e-05,0.013162
90,8.280429e+05,9.377122e-05,0.021756
91,8.280410e+05,7.692695e-05,0.013267
92,8.280390e+05,8.018384e-05,0.016577
